category,sub_category,parameter,unit,currency_year,period,value,notes,source -> data_source
passenger_rail,diesel,service_output,k_pkm,,all,79733.868,Service output per unit taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
freight_rail,diesel,service_output,k_tkm,,all,79735,"Oddly, it is very similar to passenger output. Service output per unit taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors","Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
freight_marine,mdo,service_output,k_tkm,,all,802000,Service output per unit taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
passenger_air,jet_fuel,service_unit_capex,CAD,2015,all,248501928.6,Fixed capital cost of service vehicle/vessel taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
freight_air,jet_fuel,service_unit_capex,CAD,2015,all,248501928.6,Fixed capital cost of service vehicle/vessel taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
passenger_rail,diesel,service_unit_capex,CAD,2015,all,139541591.9,Fixed capital cost of service vehicle/vessel taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
freight_rail,diesel,service_unit_capex,CAD,2015,all,2893901,Fixed capital cost of service vehicle/vessel taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
freight_marine,mdo,service_unit_capex,CAD,2015,all,118880621.4,Fixed capital cost of service vehicle/vessel taken directly from CIMS model assumptions - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors,"Jaccard, M., Rivers, N., & Bataille, C. (2025). CIMS Model—Canadian Integrated Modelling System. Simon Fraser University - Energy and Materials Research Group (EMRG). EMRG-SFU. https://github.com/EMRG-SFU/cims/tree/main"
passenger_rail,lng,diesel_relative_cost_invest,,,through_2035,1.03,"Taken directly from US-REGEN v2025 non-road Table 6, Passenger rail row, 2035 value; represented as LNG to match the CANOE rail powertrain convention instead of the CNG label reported by REGEN.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,lng,diesel_relative_cost_invest,,,through_2050,1.02,"Taken directly from US-REGEN v2025 non-road Table 6, Passenger rail row, 2050 value; represented as LNG to match the CANOE rail powertrain convention instead of the CNG label reported by REGEN.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
