technology_class,powertrain,parameter,value,notes,source -> data_source
passenger_rail,lng,diesel_relative_energy_intensity,1,Taken directly from EPRI US-REGEN technology cost and performance assumptions. Assumed LNG fuel type instead of CNG as reported in assumptions.,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,electric,diesel_relative_energy_intensity,4.166666667,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,h2_2035,diesel_relative_energy_intensity,1.538461538,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,h2_2050,diesel_relative_energy_intensity,1.666666667,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,lng,diesel_relative_energy_intensity,1,Taken directly from EPRI US-REGEN technology cost and performance assumptions. Assumed LNG fuel type instead of CNG as reported in assumptions.,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,electric,diesel_relative_energy_intensity,4.166666667,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,h2_2035,diesel_relative_energy_intensity,1.538461538,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,h2_2050,diesel_relative_energy_intensity,1.666666667,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,hfo,mdo_relative_energy_intensity,1.020792042,Derived from R&D GREET1_2025 Marine Trip energy consumptions per million tonne-km during combustion stage of MDO (0.1% sulfur) and HFO (0.1% sulfur); using pre-defined trip characteristics,"Wang, M., Cai, H., Ou, L., Benvenutti, L., Elgowainy, A., Englander, J., Masum, F., Gan, Y., Hernandez, J., Kim, T., Kelly, J., Kwon, H., Leonhardt, B., Liu, X., Lu, Z., Martinez, S., Sykora, T., & Vyawahare, P. (2026). R&D Greenhouse gases, Regulated Emissions, and Energy use in Technologies Model ® (2025 Rev.1 Excel) [Computer software]. Argonne National Laboratory (ANL), Argonne, IL (United States). https://doi.org/10.11578/GREET-EXCEL-2025REV1/DC.20260610.1"
freight_marine,lng,mdo_relative_energy_intensity,1.36,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,h2,mdo_relative_energy_intensity,1,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_air,all,annual_improvement_rate,0.01,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_air,all,annual_improvement_rate,0.01,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,remainder,annual_improvement_rate,0.005,Taken directly from EPRI US-REGEN technology cost and performance assumptions. Remainder means all other powertrain classes.,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,h2,annual_improvement_rate,0.01,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,remainder,annual_improvement_rate,0.005,Taken directly from EPRI US-REGEN technology cost and performance assumptions. Remainder means all other powertrain classes.,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,h2,annual_improvement_rate,0.01,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,all,annual_improvement_rate,0.015,Taken directly from EPRI US-REGEN technology cost and performance assumptions,"EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
