category,sub_category,parameter,unit,currency_year,period,value,notes,source -> data_source
charger,ldv,max_annual_utilization,,,2025,0.15,From technical assumptions appendix; Table 31: average annual charging port utilization rate. ,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,max_annual_utilization,,,remainder,0.2,From technical assumptions appendix; Table 31: average annual charging port utilization rate. ,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,max_annual_utilization,,,all,0.3,"Derived from Table 19: assumptions for power levels, daily throughput, and share of MHDV charger types and Table 44: MHDV port count by region and charger type. Assuming overnight 100 kW and fast CCS 350 kW charging durations of 6 and 0.5 hrs, respectively; throughput of 1.5 and 6 veh/day, respectively; count shares of 80% and 20%, respectively, based on estimated 2025 counts from ON; and 6-day work weeks. Rounded to the nearest decimal.","Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,existing_50kW_share,,,existing,0.8,Derived from Table 38: MHDV port counts under each scenario (primary policy reference scenario),"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,existing_350kW_share,,,existing,0.2,Derived from Table 38: MHDV port counts under each scenario (primary policy reference scenario),"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,existing_private_L1_share,,,existing,0.15,"Of the ~2,000 representative EV owners surveyed; 84% and 15% of owners had L2 and L1 chargers, respectively",Pollution Probe & Mobility Futures Lab. (2025). 2024 Canadian EV Charging Experience Survey. https://www.pollutionprobe.org/pollution-probe-2024-canadian-electric-vehicle-owner-charging-experience-survey-report/
charger,ldv,existing_private_L2_share,,,existing,0.85,"Of the ~2,000 representative EV owners surveyed; 84% and 15% of owners had L2 and L1 chargers, respectively",Pollution Probe & Mobility Futures Lab. (2025). 2024 Canadian EV Charging Experience Survey. https://www.pollutionprobe.org/pollution-probe-2024-canadian-electric-vehicle-owner-charging-experience-survey-report/
charger,ldv,L1_cost_per_GW,M USD,2021,all,366.67,Estimated capital costs of L1 residential ports (1.5 kW); used midpoint cost ($550 USD) per port from Table 2,"Lommele, S., Desai, R., Johnson, C., Snelling, A., Brown, A., Singer, M., Bennett, J., Cappellucci, J., Levene, J., & Hoehne, C. (2024). Assessment of Alternative Fueling Infrastructure in the United States (NREL/TP-5400-88513). NREL. https://doi.org/10.2172/2447838"
charger,ldv,L2_cost_per_GW,M CAD,2022,2025,2083.33,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,L2_cost_per_GW,M CAD,2022,2030,1000,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
